x1,y1,x2,y2,x3,y3,x4,y4,t
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.33218955993652
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.333189249038696
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
-2,-17,-67,3635,-15,98176,131071,196607,46.33418941497803
